city,scenario,severity,run,avg_ratio,median_ratio,pct_disconnected,n_removed_edges,n_pairs
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.3,2,5.0,5.0,100.0,6959,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.3,3,5.0,5.0,100.0,6959,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.3,4,5.0,5.0,100.0,6959,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.5,0,5.0,5.0,100.0,11715,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.5,1,5.0,5.0,100.0,11715,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.5,2,5.0,5.0,100.0,11715,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.5,3,5.0,5.0,100.0,11715,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.5,4,5.0,5.0,100.0,11715,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.7,0,5.0,5.0,100.0,16424,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.7,1,5.0,5.0,100.0,16424,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.7,2,5.0,5.0,100.0,16424,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.7,3,5.0,5.0,100.0,16424,30
"Pittsburgh, Pennsylvania, USA",Targeted Attack (Top k%),0.7,4,5.0,5.0,100.0,16424,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.3,0,4.960771298747336,5.0,93.33333333333333,7118,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.3,1,4.8799439269657565,5.0,96.66666666666667,7118,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.3,2,5.0,5.0,100.0,7118,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.3,3,4.873882282878038,5.0,96.66666666666667,7118,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.3,4,4.9123876244043005,5.0,96.66666666666667,7118,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.5,0,5.0,5.0,100.0,11863,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.5,1,5.0,5.0,100.0,11863,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.5,2,5.0,5.0,100.0,11863,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.5,3,5.0,5.0,100.0,11863,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.5,4,5.0,5.0,100.0,11863,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.7,0,5.0,5.0,100.0,16608,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.7,1,5.0,5.0,100.0,16608,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.7,2,5.0,5.0,100.0,16608,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.7,3,5.0,5.0,100.0,16608,30
"Pittsburgh, Pennsylvania, USA",Random Failure,0.7,4,5.0,5.0,100.0,16608,30
